"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","7/47","71/9400",0.0985915492957746,19.7183098591549,11.2225757800307,5.12908657385274e-08,1.06172092078752e-05,5.5070192687682e-06,"9021/6774/2353/5602/3717/5604/595",7
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","9/47","196/9400",0.0459183673469388,9.18367346938776,8.20733782376495,4.25932119838655e-07,4.40839744033008e-05,2.28658295913383e-05,"6774/1026/2353/1230/5602/3717/3091/5604/595",9
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","7/47","110/9400",0.0636363636363636,12.7272727272727,8.77000411856293,1.06058400433521e-06,6.31157249237703e-05,3.27373706698427e-05,"6774/1026/5054/6513/3091/5604/3939",7
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","9/47","227/9400",0.039647577092511,7.9295154185022,7.49159659984141,1.46141559417526e-06,6.31157249237703e-05,3.27373706698427e-05,"4257/1728/2353/5602/2053/3091/5604/5770/4233",9
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","8/47","168/9400",0.0476190476190476,9.52380952380952,7.90232279463011,1.5307032812004e-06,6.31157249237703e-05,3.27373706698427e-05,"9021/6774/1026/3717/2690/598/595/5292",8
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","6/47","77/9400",0.0779220779220779,15.5844155844156,9.10900285429181,2.03921216273555e-06,6.31157249237703e-05,3.27373706698427e-05,"6774/1026/5602/5604/598/595",6
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","7/47","122/9400",0.0573770491803279,11.4754098360656,8.25539847839142,2.13434818582798e-06,6.31157249237703e-05,3.27373706698427e-05,"9021/6774/2353/5602/3717/5604/2690",7
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","6/47","101/9400",0.0594059405940594,11.8811881188119,7.79351127911074,9.96166783005596e-06,0.000257758155102698,0.000133696068245488,"6774/5054/5602/3717/595/5292",6
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","8/47","224/9400",0.0357142857142857,7.14285714285714,6.59602068450612,1.29499711301802e-05,0.000297849335994144,0.00015449088365829,"1026/2353/5602/6513/5604/598/595/1017",8
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","7/47","163/9400",0.0429447852760736,8.58895705521472,6.92826853365674,1.45449315324847e-05,0.000301080082722433,0.000156166633296151,"6774/1026/2353/5602/3717/5604/1017",7
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","7/47","170/9400",0.0411764705882353,8.23529411764706,6.74829542619415,1.91206077488391e-05,0.000352572418302052,0.000182875091110141,"4257/1026/1728/5604/598/4233/595",7
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","5/47","68/9400",0.0735294117647059,14.7058823529412,8.04059851813912,2.06914112121539e-05,0.000352572418302052,0.000182875091110141,"929/6774/5604/595/5292",5
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","5/47","70/9400",0.0714285714285714,14.2857142857143,7.90874172880323,2.38454775663224e-05,0.000352572418302052,0.000182875091110141,"9021/6774/5602/3717/6513",5
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","5/47","70/9400",0.0714285714285714,14.2857142857143,7.90874172880323,2.38454775663224e-05,0.000352572418302052,0.000182875091110141,"1026/6513/3091/5604/4233",5
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","5/47","71/9400",0.0704225352112676,14.0845070422535,7.8448253571471,2.55565102700202e-05,0.000352679841726279,0.000182930810353829,"6513/3091/5604/3939/4233",5
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","5/47","73/9400",0.0684931506849315,13.6986301369863,7.72078754995246,2.92641242377273e-05,0.00035633374807115,0.000184826047817225,"1026/2246/5604/4233/595",5
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","5/47","73/9400",0.0684931506849315,13.6986301369863,7.72078754995246,2.92641242377273e-05,0.00035633374807115,0.000184826047817225,"6774/1026/5604/4233/595",5
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","5/47","75/9400",0.0666666666666667,13.3333333333333,7.60152918751592,3.33767370751448e-05,0.000383832476364165,0.000199089308869285,"1026/5054/598/595/1017",5
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","5/47","80/9400",0.0625,12.5,7.32232775188902,4.56310122174805e-05,0.00049469625192508,0.000256593021593482,"6774/3717/5604/598/4233",5
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","6/47","133/9400",0.0451127819548872,9.02255639097744,6.60515941935278,4.77967393164329e-05,0.00049469625192508,0.000256593021593482,"6774/1026/5602/5604/595/1017",6
"Human Diseases","Infectious disease: viral","hsa05162","Measles","6/47","136/9400",0.0441176470588235,8.82352941176471,6.5145914832071,5.41680712210738e-05,0.000533942416322013,0.000276949537070152,"6774/2353/5602/598/595/1017",6
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","9/47","362/9400",0.0248618784530387,4.97237569060773,5.46364808909123,6.27760872377819e-05,0.000590665911737312,0.000306371334844677,"1026/2246/3717/5604/2690/598/4233/595/1017",9
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","5/47","87/9400",0.0574712643678161,11.4942528735632,6.97076812016752,6.83296929332612e-05,0.000614967236399351,0.000318976140924149,"1026/2353/5602/5604/595",5
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","5/47","90/9400",0.0555555555555556,11.1111111111111,6.83218446766435,8.03699751399902e-05,0.000693191035582416,0.000359549888784167,"6774/2353/3717/3091/5604",5
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","7/47","216/9400",0.0324074074074074,6.48148148148148,5.7772767998644,8.83549928970525e-05,0.0007168616693532,0.00037182756305124,"929/6774/2353/5602/3717/598/834",7
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","7/47","217/9400",0.032258064516129,6.45161290322581,5.75939509434036,9.09578647017941e-05,0.0007168616693532,0.00037182756305124,"4257/6774/2353/3717/2053/5604/595",7
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","6/47","150/9400",0.04,8,6.12614243046673,9.35036960025914e-05,0.0007168616693532,0.00037182756305124,"1026/2246/5604/4233/595/1017",6
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","6/47","156/9400",0.0384615384615385,7.69230769230769,5.97478824228979,0.000116134432356095,0.000858565267775416,0.000445327522568484,"9021/6774/1026/5604/595/1017",6
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","6/47","157/9400",0.0382165605095541,7.64331210191083,5.95034699379599,0.000120296725100654,0.000858669727442596,0.000445381704546884,"240/3717/6513/3091/5604/834",6
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","5/47","99/9400",0.0505050505050505,10.1010101010101,6.45292560323698,0.000126481645312516,0.00087272335265636,0.000452671151644794,"1026/2353/5602/5604/595",5
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","5/47","109/9400",0.0458715596330275,9.1743119266055,6.08481686277866,0.000199046164598444,0.00128757987724619,0.000667852262797412,"6774/2353/5602/3717/3091",5
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","5/47","109/9400",0.0458715596330275,9.1743119266055,6.08481686277866,0.000199046164598444,0.00128757987724619,0.000667852262797412,"9021/6774/5602/6513/5770",5
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","5/47","112/9400",0.0446428571428571,8.92857142857143,5.98352538249302,0.000226025233564611,0.00141779464690529,0.000735393104420745,"6774/240/5602/3717/598",5
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","4/47","69/9400",0.0579710144927536,11.5942028985507,6.26099019226932,0.000373885251082292,0.00227630138158925,0.00118069026657566,"240/241/5602/5604",4
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","6/47","204/9400",0.0294117647058824,5.88235294117647,4.99757200338146,0.000496354223776333,0.00293558069490574,0.00152265055113341,"6774/1026/3091/5604/4233/595",6
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","4/47","77/9400",0.051948051948052,10.3896103896104,5.86447824011841,0.000568430191023641,0.00320832084158838,0.00166411759899321,"1026/5604/598/595",4
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","5/47","137/9400",0.0364963503649635,7.2992700729927,5.2648859371393,0.000573467976515797,0.00320832084158838,0.00166411759899321,"1075/2353/5602/5604/598",5
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","4/47","78/9400",0.0512820512820513,10.2564102564103,5.81901710122272,0.000596973912906921,0.00325193684136138,0.00168674069574809,"929/2353/5602/834",4
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","3/47","37/9400",0.0810810810810811,16.2162162162162,6.5737670120628,0.000808033777445623,0.00421463854334402,0.0021860825396445,"1026/5604/595",3
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","5/47","148/9400",0.0337837837837838,6.75675675675676,5.00386070616539,0.000814422906926381,0.00421463854334402,0.0021860825396445,"1026/2353/2246/5604/595",5
"Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","3/47","38/9400",0.0789473684210526,15.7894736842105,6.47551756071786,0.000874229140504832,0.00441379102645122,0.00228938054766349,"4860/952/10135",3
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","5/47","154/9400",0.0324675324675325,6.49350649350649,4.87244947815553,0.000974138025200806,0.00480110883848969,0.00249027765840808,"1026/2353/952/5604/595",5
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","5/47","155/9400",0.032258064516129,6.45161290322581,4.85122802744741,0.00100287303945865,0.0048277841666963,0.00250411383169602,"1026/8622/5604/595/1017",5
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","5/47","157/9400",0.0318471337579618,6.36942675159236,4.80934085883991,0.00106223322261985,0.00499732447914337,0.00259205236141685,"1026/5054/5604/595/1017",5
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","3/47","41/9400",0.0731707317073171,14.6341463414634,6.20182407342479,0.00109317076266547,0.00501083788981984,0.00259906160570366,"1026/5604/595",3
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","6/47","238/9400",0.0252100840336134,5.04201680672269,4.47719217843494,0.00111351953107108,0.00501083788981984,0.00259906160570366,"2246/5320/5602/5604/598/4233",6
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","4/47","93/9400",0.043010752688172,8.60215053763441,5.22260727243412,0.00115689754172494,0.0050952721518524,0.00264285664626974,"1026/598/595/1017",4
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","6/47","248/9400",0.0241935483870968,4.83870967741935,4.34277559775128,0.00137648097966011,0.00593607422478421,0.00307897061239761,"929/2353/5602/5604/834/8767",6
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","4/47","99/9400",0.0404040404040404,8.08080808080808,5.02053368242966,0.0014593199347881,0.00616488217349257,0.00319765055528219,"2353/5602/3091/5604",4
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","4/47","100/9400",0.04,8,4.98851005959558,0.00151459811672178,0.00627043620322818,0.00325240016643414,"929/4311/290/952",4
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","4/47","106/9400",0.0377358490566038,7.54716981132075,4.80528875868346,0.00187733454577725,0.00761976962697825,0.00395228325426789,"1026/5604/595/1017",4
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","4/47","109/9400",0.036697247706422,7.3394495412844,4.71897693847369,0.00207956927113838,0.00827828536780085,0.0042938474829173,"929/2353/5602/5604",4
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","5/47","187/9400",0.0267379679144385,5.3475935828877,4.25680242515896,0.00230159013054831,0.00898922937780189,0.00466260562693004,"5602/10135/598/834/8767",5
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","4/47","119/9400",0.0336134453781513,6.72268907563025,4.45338796851369,0.00286224541009832,0.0109719407387102,0.00569101426569257,"9021/2353/5602/5604",4
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","3/47","59/9400",0.0508474576271186,10.1694915254237,5.00828298306823,0.00313064378529281,0.0115758419129336,0.00600425057268865,"1026/5604/595",3
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","4/47","122/9400",0.0327868852459016,6.55737704918033,4.37962454487432,0.00313162873006898,0.0115758419129336,0.00600425057268865,"6513/3091/5604/595",4
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","5/47","205/9400",0.024390243902439,4.8780487804878,3.97950099785997,0.00342480313806836,0.0122230043031061,0.00633992595431893,"6774/1026/5602/595/1017",5
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","5/47","205/9400",0.024390243902439,4.8780487804878,3.97950099785997,0.00342480313806836,0.0122230043031061,0.00633992595431893,"6774/1026/595/1017/9734",5
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","6/47","300/9400",0.02,4,3.74347961483764,0.00358658944333211,0.0125834578774533,0.00652688890668823,"929/2353/2246/5602/5604/4233",6
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","3/47","63/9400",0.0476190476190476,9.52380952380952,4.81187811554024,0.0037712476496745,0.013010804391377,0.00674854842573332,"240/5320/2053",3
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","4/47","130/9400",0.0307692307692308,6.15384615384615,4.19447438016017,0.00393384442149634,0.013349275331963,0.00692410924922565,"2353/5602/1910/5604",4
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","4/47","138/9400",0.0289855072463768,5.79710144927536,4.02420729964124,0.00486547533720162,0.0159865618222339,0.00829203816866442,"9021/5602/5604/5770",4
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","4/47","138/9400",0.0289855072463768,5.79710144927536,4.02420729964124,0.00486547533720162,0.0159865618222339,0.00829203816866442,"2353/5602/5604/834",4
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","6/47","323/9400",0.0185758513931889,3.71517027863777,3.51999017335446,0.00514370885685965,0.016630045861447,0.00862580563370251,"6774/1026/5604/4233/595/5292",6
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","5/47","227/9400",0.0220264317180617,4.40528634361234,3.68150296991571,0.00527998606900634,0.016630045861447,0.00862580563370251,"6774/1026/1230/5604/595",5
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","4/47","142/9400",0.028169014084507,5.63380281690141,3.94400466353269,0.00538267184887417,0.016630045861447,0.00862580563370251,"9021/2353/5602/5604",4
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","4/47","142/9400",0.028169014084507,5.63380281690141,3.94400466353269,0.00538267184887417,0.016630045861447,0.00862580563370251,"4257/1728/2353/5602",4
"Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","2/47","23/9400",0.0869565217391304,17.3913043478261,5.57904366900195,0.00579030373791414,0.0176263657904151,0.00914258484933812,"4311/290",2
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","3/47","75/9400",0.04,8,4.31438143075228,0.00615029405448811,0.0184508821634643,0.00957025161796777,"4257/1026/598",3
"Human Diseases","Cancer: specific types","hsa05214","Glioma","3/47","76/9400",0.0394736842105263,7.89473684210526,4.27796911674924,0.00638081827092853,0.0188689911726029,0.00978711975390541,"1026/5604/595",3
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","5/47","253/9400",0.0197628458498024,3.95256916996047,3.37470090747054,0.00828424213221852,0.0241526495967498,0.0125276901035773,"929/5602/598/834/8767",5
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","5/47","254/9400",0.0196850393700787,3.93700787401575,3.36372634947084,0.00841935422366925,0.0242056433930491,0.0125551773510857,"2246/1910/3360/952/4233",5
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","3/47","86/9400",0.0348837209302326,6.97674418604651,3.94693580779458,0.00897177655297266,0.0254405170748677,0.0131956915415027,"1026/5602/5604",3
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","4/47","168/9400",0.0238095238095238,4.76190476190476,3.48761732276971,0.00966134646483765,0.0270256583543432,0.0140178853401627,"6774/5602/3717/834",4
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","4/47","169/9400",0.0236686390532544,4.73372781065089,3.47196963309864,0.00985980415004385,0.027213059454121,0.0141150880463786,"5602/3091/5604/598",4
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","4/47","173/9400",0.023121387283237,4.6242774566474,3.41058215628536,0.0106802233887524,0.0290895558088389,0.0150884042334176,"9021/3717/5604/834",4
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","2/47","32/9400",0.0625,12.5,4.61916711904239,0.0110323313570461,0.029466175264695,0.0152837522349295,"5602/598",2
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","3/47","93/9400",0.032258064516129,6.45161290322581,3.74520776113734,0.0111031964765517,0.029466175264695,0.0152837522349295,"2353/5602/3717",3
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","4/47","181/9400",0.0220994475138122,4.41988950276243,3.29324272183495,0.0124514028477513,0.032625827714994,0.0169226261221937,"929/5602/3717/8767",4
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","3/47","103/9400",0.029126213592233,5.8252427184466,3.49044378166902,0.0146167812116874,0.0378209213852412,0.0196172589946331,"5054/2353/5602",3
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","3/47","105/9400",0.0285714285714286,5.71428571428571,3.44350040928564,0.0153867715304221,0.0389910642735912,0.0202241980976674,"5602/3091/598",3
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","4/47","193/9400",0.0207253886010363,4.14507772020725,3.1294300721927,0.0154457356059637,0.0389910642735912,0.0202241980976674,"6774/1230/3717/5604",4
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","3/47","110/9400",0.0272727272727273,5.45454545454546,3.3312418744929,0.0174109319104706,0.0434224446441858,0.0225227020274953,"5602/5604/1017",3
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","4/47","201/9400",0.0199004975124378,3.98009950248756,3.02742066343455,0.0176752730617747,0.0435569229022305,0.0225924542894865,"929/1026/598/4233",4
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","4/47","203/9400",0.0197044334975369,3.94088669950739,3.00273845269425,0.0182625565629386,0.044474696570921,0.023068492500554,"5602/5604/4233/595",4
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","3/47","115/9400",0.0260869565217391,5.21739130434783,3.22564189389876,0.0195775575661729,0.0460517547295203,0.0238864936812157,"2353/3717/5604",3
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","3/47","115/9400",0.0260869565217391,5.21739130434783,3.22564189389876,0.0195775575661729,0.0460517547295203,0.0238864936812157,"240/3360/5604",3
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","3/47","115/9400",0.0260869565217391,5.21739130434783,3.22564189389876,0.0195775575661729,0.0460517547295203,0.0238864936812157,"1026/2353/5604",3
